Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.31,0.4314601074067952
100% Corpus,9,0.31,0.61,0.4584062897671522
100% Corpus,9,0.31,0.9099999999999999,0.3946901201133314
100% Corpus,9,0.31,symmetric,0.43614367290362344
100% Corpus,9,0.61,0.01,0.4440006104760372
100% Corpus,9,0.61,0.31,0.43416846682224153
100% Corpus,9,0.61,0.61,0.4317003691223598
100% Corpus,9,0.61,0.9099999999999999,0.4478437179651983
100% Corpus,9,0.61,symmetric,0.4457142687416109
100% Corpus,9,0.9099999999999999,0.01,0.44042132130186556
100% Corpus,9,0.9099999999999999,0.31,0.4341649517278008
100% Corpus,9,0.9099999999999999,0.61,0.42746336337281293
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.4252875723017351
100% Corpus,9,0.9099999999999999,symmetric,0.43194361161487166
100% Corpus,9,symmetric,0.01,0.43626197000679606
100% Corpus,9,symmetric,0.31,0.4354980099074211
100% Corpus,9,symmetric,0.61,0.4073609756760839
100% Corpus,9,symmetric,0.9099999999999999,0.4549051123045966
100% Corpus,9,symmetric,symmetric,0.4415742120284783
100% Corpus,9,asymmetric,0.01,0.40398183889926037
100% Corpus,9,asymmetric,0.31,0.40001107414699505
100% Corpus,9,asymmetric,0.61,0.40562575337411527
100% Corpus,9,asymmetric,0.9099999999999999,0.4197589569834242
100% Corpus,9,asymmetric,symmetric,0.39772876274905256
